intent,question,category
deepfake_purpose,What is the purpose of deepfakes?,deepfake
deepfake_purpose,Why were deepfakes created?,deepfake
deepfake_legality,Are deepfakes illegal?,deepfake
deepfake_legality,Can you get arrested for making deepfakes?,deepfake
deepfake_danger,Why are deepfakes dangerous?,deepfake
deepfake_danger,Can deepfakes harm people?,deepfake
deepfake_positive_use,Can deepfakes be used for good?,deepfake
deepfake_positive_use,Are deepfakes useful in any way?,deepfake
deepfake_inventor,Who invented deepfake technology?,deepfake
deepfake_inventor,When were deepfakes created?,deepfake
deepfake_media_types,Are deepfakes only used for videos?,deepfake
deepfake_media_types,Can deepfakes be used for audio?,deepfake
deepfake_famous_examples,What are the most famous deepfake examples?,deepfake
deepfake_famous_examples,Have deepfakes been used in movies?,deepfake
deepfake_realism,How realistic are deepfakes?,deepfake
deepfake_realism,Can deepfakes be detected easily?,deepfake
deepfake_real_time,Do deepfakes work in real-time?,deepfake
deepfake_real_time,Can deepfakes be used for live streams?,deepfake
deepfake_vs_cgi,What is the difference between a deepfake and CGI?,deepfake
deepfake_vs_cgi,Are deepfakes similar to computer-generated imagery?,deepfake
deepfake_ai_models,What AI models are used for deepfakes?,deepfake
deepfake_ai_models,How does AI generate deepfakes?,deepfake
deepfake_programming,What programming languages are used to create deepfakes?,deepfake
deepfake_programming,Which coding languages are best for deepfake generation?,deepfake
deepfake_data_sources,What datasets are used to train deepfake models?,deepfake
deepfake_data_sources,Where do deepfake creators get data?,deepfake
deepfake_hardware,How much computing power is needed to make a deepfake?,deepfake
deepfake_hardware,Can deepfakes be made on a normal PC?,deepfake
deepfake_cybercrime,How do cybercriminals use deepfakes?,deepfake
deepfake_cybercrime,Can deepfakes be used for scams?,deepfake
deepfake_identity_theft,Can deepfakes be used for identity theft?,deepfake
deepfake_identity_theft,How do deepfakes affect online security?,deepfake
deepfake_detection,Can AI detect deepfakes accurately?,deepfake
deepfake_detection,What are the best deepfake detection tools?,deepfake
deepfake_misinformation,How do deepfakes contribute to misinformation?,deepfake
deepfake_misinformation,Can deepfakes spread fake news?,deepfake
deepfake_laws,Are there cybersecurity laws against deepfakes?,deepfake
deepfake_laws,What countries have laws against deepfakes?,deepfake
cybersecurity_overview,What is cybersecurity?,general
cybersecurity_overview,Explain cybersecurity in simple terms,general
cybersecurity_overview,Can you define cybersecurity?,general
cybersecurity_overview,How would you describe cybersecurity?,general
cybersecurity_overview,What does cybersecurity involve?,general
cybersecurity_overview,Describe the concept of cybersecurity,general
cybersecurity_overview,Why is cybersecurity important?,general
cybersecurity_overview,What does cybersecurity protect?,general
cybersecurity_overview,Can you provide a brief overview of cybersecurity?,general
cybersecurity_overview,What are the basics of cybersecurity?,general
cybersecurity_overview,How do you define cybersecurity risks?,general
cybersecurity_overview,What does a cybersecurity strategy look like?,general
cybersecurity_overview,What does it mean to secure digital systems?,general
cybersecurity_overview,Give me a simple explanation of cybersecurity,general
cybersecurity_overview,Where does cybersecurity apply?,general
cybersecurity_overview,What does the term cybersecurity encompass?,general
cybersecurity_overview,How would you define cyber threats?,general
cybersecurity_overview,Is cybersecurity just about hacking?,general
cybersecurity_overview,What is covered under the umbrella of cybersecurity?,general
cybersecurity_overview,How does cybersecurity relate to the internet?,general
malware_basics,What is malware?,general
malware_basics,Can you define malware?,general
malware_basics,Explain what malware does,general
malware_basics,How would you describe malicious software?,general
malware_basics,What's the purpose of malware?,general
malware_basics,Why do attackers create malware?,general
malware_basics,What are the main types of malware?,general
malware_basics,How dangerous is malware?,general
malware_basics,Is a virus the same as malware?,general
malware_basics,What's the difference between malware and a virus?,general
malware_basics,How does malware affect my computer?,general
malware_basics,Can malware steal my information?,general
malware_basics,What happens when a system is infected with malware?,general
malware_basics,How do I know if I have malware on my device?,general
malware_basics,What does malware look like in emails?,general
malware_basics,Where does malware usually come from?,general
malware_basics,Why is malware created by hackers?,general
malware_basics,Do phishing emails always contain malware?,general
malware_basics,Is malware always delivered via email?,general
malware_basics,How can I avoid malware?,general
ransomware_explained,What is ransomware?,general
ransomware_explained,Explain ransomware in simple terms,general
ransomware_explained,How does ransomware work?,general
ransomware_explained,Why do hackers use ransomware?,general
ransomware_explained,Is ransomware a type of malware?,general
ransomware_explained,How is ransomware different from other malware?,general
ransomware_explained,What happens during a ransomware attack?,general
ransomware_explained,Can you describe the impact of ransomware?,general
ransomware_explained,Is ransomware spread through email?,general
ransomware_explained,How do cybercriminals deliver ransomware?,general
ransomware_explained,Can ransomware lock my entire computer?,general
ransomware_explained,Why do attackers demand cryptocurrency in ransomware?,general
ransomware_explained,Can ransomware be removed without paying?,general
ransomware_explained,How can I protect against ransomware?,general
ransomware_explained,What are the famous ransomware attacks?,general
ransomware_explained,Is there a way to decrypt files without paying ransomware?,general
ransomware_explained,What should I do if I’m hit by ransomware?,general
ransomware_explained,Do antivirus programs detect ransomware?,general
ransomware_explained,Is phishing related to ransomware?,general
ransomware_explained,Can backups help with ransomware attacks?,general
spyware_keyloggers,What is spyware?,general
spyware_keyloggers,Explain how spyware works,general
spyware_keyloggers,Is spyware a type of malware?,general
spyware_keyloggers,What is a keylogger?,general
spyware_keyloggers,How does a keylogger capture data?,general
spyware_keyloggers,What are the dangers of keyloggers?,general
spyware_keyloggers,Can spyware steal personal information?,general
spyware_keyloggers,Do hackers use keyloggers for passwords?,general
spyware_keyloggers,How can I detect spyware on my device?,general
spyware_keyloggers,How is spyware installed on a computer?,general
spyware_keyloggers,What are signs of spyware infection?,general
spyware_keyloggers,How do I remove spyware?,general
spyware_keyloggers,Is antivirus effective against spyware?,general
spyware_keyloggers,What can a keylogger do on my system?,general
spyware_keyloggers,Why are keyloggers used by cybercriminals?,general
spyware_keyloggers,Are there legal uses for keyloggers?,general
spyware_keyloggers,Can spyware be embedded in legitimate software?,general
spyware_keyloggers,What is the difference between spyware and adware?,general
spyware_keyloggers,Does spyware require user interaction to install?,general
spyware_keyloggers,How can I protect myself from keyloggers?,general
ddos_attacks,What is a DDoS attack?,general
ddos_attacks,Explain Distributed Denial of Service attacks,general
ddos_attacks,How do hackers launch DDoS attacks?,general
ddos_attacks,What happens during a DDoS attack?,general
ddos_attacks,Is a DDoS attack illegal?,general
ddos_attacks,Can a DDoS attack take down websites?,general
ddos_attacks,How can I protect my site from DDoS attacks?,general
ddos_attacks,Are DDoS attacks common?,general
ddos_attacks,What is the difference between DoS and DDoS?,general
ddos_attacks,Can DDoS attacks target mobile apps?,general
ddos_attacks,How do botnets relate to DDoS?,general
ddos_attacks,Is there a way to mitigate a DDoS in progress?,general
ddos_attacks,Why do attackers perform DDoS attacks?,general
ddos_attacks,Are DDoS attacks hard to trace?,general
ddos_attacks,How long can a DDoS attack last?,general
ddos_attacks,What is a reflection DDoS attack?,general
ddos_attacks,What is a volumetric DDoS attack?,general
ddos_attacks,Do I need special hardware to handle DDoS attacks?,general
ddos_attacks,Can cloud services help prevent DDoS?,general
ddos_attacks,What are signs that my network is under DDoS?,general
sql_injection_xss,What is SQL injection?,general
sql_injection_xss,Explain how SQL injection works,general
sql_injection_xss,How do attackers use SQL injection?,general
sql_injection_xss,What is the impact of SQL injection?,general
sql_injection_xss,Can SQL injection steal data?,general
sql_injection_xss,What is cross-site scripting (XSS)?,general
sql_injection_xss,How does XSS work?,general
